state,county_in,county_out
Virginia,Alexandria,Alexandria city
Virginia,Bristol,Bristol city
Virginia,Buena Vista,Buena Vista city
Virginia,Charlottesville,Charlottesville city
Virginia,Chesapeake,Chesapeake city
Virginia,Colonial Heights,Colonial Heights city
Virginia,Covington,Covington city
Virginia,Danville,Danville city
Virginia,Emporia,Emporia city
Virginia,Fairfax City,Fairfax city
Virginia,Falls Church,Falls Church city
Virginia,Franklin City,Franklin city
Virginia,Fredericksburg,Fredericksburg city
Virginia,Galax,Galax city
Virginia,Hampton,Hampton city
Virginia,Harrisonburg,Harrisonburg city
Virginia,Hopewell,Hopewell city
Virginia,Lexington,Lexington city
Virginia,Lynchburg,Lynchburg city
Virginia,Manassas,Manassas city
Virginia,Manassas Park,Manassas Park city
Virginia,Martinsville,Martinsville city
Virginia,Newport News,Newport News city
Virginia,Norfolk,Norfolk city
Virginia,Norton,Norton city
Virginia,Petersburg,Petersburg city
Virginia,Poquoson,Poquoson city
Virginia,Portsmouth,Portsmouth city
Virginia,Radford,Radford city
Virginia,Richmond City,Richmond city
Virginia,Roanoke City,Roanoke city
Virginia,Salem,Salem city
Virginia,Staunton,Staunton city
Virginia,Suffolk,Suffolk city
Virginia,Virginia Beach,Virginia Beach city
Virginia,Waynesboro,Waynesboro city
Virginia,Williamsburg,Williamsburg city
Virginia,Winchester,Winchester city
Maryland,Baltimore City,Baltimore city
Missouri,St. Louis City,St. Louis city
Nevada,Carson City,Carson City